Type,ID,Fuel1,X_fuel1,Fuel2,X_fuel2,Fuel3,X_fuel3,Ox,Dil,Temp,Pres,Model,Exp_val,Exp_unc
fls,ecl90_b01,CH4,0.5461,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,6.76,1
fls,ecl90_b02,CH4,0.5973,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,12.2,1
fls,ecl90_b03,CH4,0.6948,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,20.3,1
fls,ecl90_b04,CH4,0.7482,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,24.3,1
fls,ecl90_b05,CH4,0.797,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,28.3,1
fls,ecl90_b06,CH4,0.8991,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,35.9,1
fls,ecl90_b07,CH4,1.0,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,40.1,1
fls,ecl90_b08,CH4,1.1,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,41.7,1
fls,ecl90_b09,CH4,1.2,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,36.5,1
fls,ecl90_b10,CH4,1.298,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,27.2,1
fls,ecl90_b11,CH4,1.397,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,17.5,1
fls,ecl90_b12,CH4,1.497,N2,0,N2,0,2,Air,298,1,scheme.uscmech2-base.1atm.cti,10.0,1
