Type,ID,Fuel1,X_fuel1,Fuel2,X_fuel2,Fuel3,X_fuel3,Ox,Dil,Temp,Pres,Model,Crit_spec,Sim,Exp_val,Exp_unc
ign,lif77_1a01,CH4,0.01,C3H8,0,H2,0,0.02,AR,2020.20202020202,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,3.69,0.1
ign,lif77_1a02,CH4,0.01,C3H8,0,H2,0,0.02,AR,1992.0318725099603,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,3.68,0.1
ign,lif77_1a03,CH4,0.01,C3H8,0,H2,0,0.02,AR,1904.7619047619048,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,4.24,0.1
ign,lif77_1a04,CH4,0.01,C3H8,0,H2,0,0.02,AR,1876.172607879925,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,4.34,0.1
ign,lif77_1a05,CH4,0.01,C3H8,0,H2,0,0.02,AR,1876.172607879925,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,4.41,0.1
ign,lif77_1a06,CH4,0.01,C3H8,0,H2,0,0.02,AR,1872.6591760299625,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,4.46,0.1
ign,lif77_1a07,CH4,0.01,C3H8,0,H2,0,0.02,AR,1841.6206261510126,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,4.72,0.1
ign,lif77_1a08,CH4,0.01,C3H8,0,H2,0,0.02,AR,1831.5018315018312,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,4.78,0.1
ign,lif77_1a09,CH4,0.01,C3H8,0,H2,0,0.02,AR,1751.3134851138357,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,5.34,0.1
ign,lif77_1a10,CH4,0.01,C3H8,0,H2,0,0.02,AR,1718.2130584192441,10.0,scheme.uscmech2-base.10atm.cti,OH,crit,5.69,0.1
ign,blss70_a01,C3H8,0.016,N2,0,N2,0,0.08,AR,1485.5684453377662,2.6266484914795223,scheme.uscmech2-base.2atm.cti,PRES,crit,4.49,0.1
ign,blss70_a02,C3H8,0.016,N2,0,N2,0,0.08,AR,1464.3496749875897,2.56511405746401,scheme.uscmech2-base.2atm.cti,PRES,crit,4.98,0.1
ign,blss70_a03,C3H8,0.016,N2,0,N2,0,0.08,AR,1443.118058602138,2.5035423699462003,scheme.uscmech2-base.2atm.cti,PRES,crit,5.12,0.1
ign,blss70_a04,C3H8,0.016,N2,0,N2,0,0.08,AR,1441.7947460999453,2.4997047636898415,scheme.uscmech2-base.2atm.cti,PRES,crit,5.27,0.1
ign,blss70_a05,C3H8,0.016,N2,0,N2,0,0.08,AR,1392.022873719861,2.3553663337875967,scheme.uscmech2-base.2atm.cti,PRES,crit,5.54,0.1
ign,blss70_a06,C3H8,0.016,N2,0,N2,0,0.08,AR,1400.5739552068437,2.3801644700998468,scheme.uscmech2-base.2atm.cti,PRES,crit,5.65,0.1
ign,blss70_a07,C3H8,0.016,N2,0,N2,0,0.08,AR,1390.7877004298925,2.351784331246688,scheme.uscmech2-base.2atm.cti,PRES,crit,5.72,0.1
ign,blss70_a08,C3H8,0.016,N2,0,N2,0,0.08,AR,1387.1434001104165,2.341215860320208,scheme.uscmech2-base.2atm.cti,PRES,crit,5.84,0.1
ign,blss70_a09,C3H8,0.016,N2,0,N2,0,0.08,AR,1369.2440403653143,2.289307717059411,scheme.uscmech2-base.2atm.cti,PRES,crit,6.04,0.1
ign,blss70_a10,C3H8,0.016,N2,0,N2,0,0.08,AR,1367.474616252436,2.2841763871320637,scheme.uscmech2-base.2atm.cti,PRES,crit,6.12,0.1
ign,blss70_a11,C3H8,0.016,N2,0,N2,0,0.08,AR,1355.2633005540317,2.248763571606692,scheme.uscmech2-base.2atm.cti,PRES,crit,6.13,0.1
ign,blss70_a12,C3H8,0.016,N2,0,N2,0,0.08,AR,1348.3685414832323,2.2287687703013734,scheme.uscmech2-base.2atm.cti,PRES,crit,6.28,0.1
ign,blss70_a13,C3H8,0.016,N2,0,N2,0,0.08,AR,1335.9303819959334,2.192698107788207,scheme.uscmech2-base.2atm.cti,PRES,crit,6.32,0.1
ign,blss70_a14,C3H8,0.016,N2,0,N2,0,0.08,AR,1329.7836973837836,2.1748727224129727,scheme.uscmech2-base.2atm.cti,PRES,crit,6.5,0.1
